STATION,NAME,DATE,TAVG,City,County,COUNTYFP
US1NYSF0034,"BAY SHORE 0.5 ESE, NY US",2018-01,20.6,BAY SHORE,ALBANY,001
US1NYER0104,"WILLIAMSVILLE 2.2 NNW, NY US",2018-01,20.6,WILLIAMSVILLE,ALLEGANY,003
US1NYST0010,"SAVONA 4.7 S, NY US",2018-01,20.6,SAVONA,BRONX,005
USC00307484,"SARATOGA SPRINGS 4 SW, NY US",2018-01,21.6,SARATOGA SPRINGS,BROOME,007
USC00306276,"ORIENT POINT STATE PARK, NY US",2018-01,29.5,ORIENT POINT,CATTARAUGUS,009
USC00308577,"SYOSSET, NY US",2018-01,28.6,"SYOSSET, NY",CAYUGA,011
USC00308455,"THERESA 4 NW, NY US",2018-01,20.6,THERESA,CHAUTAUQUA,013
US1NYST0004,"BIG FLATS 2.0 W, NY US",2018-01,20.6,BIG FLATS,CHEMUNG,015
US1NYST0003,"SOUTH CORNING 4.7 S, NY US",2018-01,20.6,SOUTH CORNING,CHENANGO,017
US1NYER0102,"CHEEKTOWAGA 2.7 NE, NY US",2018-01,20.6,CHEEKTOWAGA,CLINTON,019
US1NYMR0036,"ROCHESTER 3.4 NNW, NY US",2018-01,20.6,ROCHESTER,COLUMBIA,021
USC00300608,"BENNETTS BRIDGE, NY US",2018-01,20.6,"BENNETTS BRIDGE,",CORTLAND,023
US1NYOG0052,"SYRACUSE 2.7 S, NY US",2018-01,20.6,SYRACUSE,DELAWARE,025
US1NYSF0044,"SHIRLEY 2.9 N, NY US",2018-01,20.6,SHIRLEY,DUTCHESS,027
US1NYSF0049,"SAYVILLE 1.0 SSE, NY US",2018-01,20.6,SAYVILLE,ERIE,029
USC00306164,"OGDENSBURG 4 NE, NY US",2018-01,15.0,OGDENSBURG,ESSEX,031
USC00307134,"RIVERHEAD RESEARCH FARM, NY US",2018-01,30.7,RIVERHEAD RESEARCH,FRANKLIN,033
USC00306047,"NORTH TONAWANDA, NY US",2018-01,24.6,"NORTH TONAWANDA,",FULTON,035
USC00308578,"TRENTON FALLS, NY US",2018-01,17.7,"TRENTON FALLS,",GENESEE,037
USW00004789,"MONTGOMERY ORANGE CO AIRPORT, NY US",2018-01,25.2,MONTGOMERY ORANGE,GREENE,039
US1NYMR0023,"ROCHESTER 5.0 WNW, NY US",2018-01,20.6,ROCHESTER,HAMILTON,041
US1NYER0113,"WEST SENECA 0.4 E, NY US",2018-01,20.6,WEST SENECA,HERKIMER,043
US1NYMR0026,"WEBSTER 3.2 W, NY US",2018-01,20.6,WEBSTER,JEFFERSON,045
US1NYOG0066,"CLAY 2.0 SE, NY US",2018-01,20.6,CLAY,KINGS,047
USW00004781,"ISLIP LI MACARTHUR AIRPORT, NY US",2018-01,30.2,ISLIP LI,LEWIS,049
US1NYOG0061,"SKANEATELES 0.8 NNW, NY US",2018-01,20.6,SKANEATELES,LIVINGSTON,051
USC00301708,"CONKLINGVILLE DAM, NY US",2018-01,19.3,"CONKLINGVILLE DAM,",MADISON,053
US1NYMR0021,"PITTSFORD 4.0 SSE, NY US",2018-01,20.6,PITTSFORD,MONROE,055
US1NYGN0006,"STAFFORD 1.8 NE, NY US",2018-01,20.6,STAFFORD,MONTGOMERY,057
US1NYOT0004,"BRIDGEWATER 4.3 SSE, NY US",2018-01,20.6,BRIDGEWATER,NASSAU,059
US1NYSF0059,"BOHEMIA 0.5 ENE, NY US",2018-01,20.6,BOHEMIA,NEW YORK,061
US1NYOT0002,"COOPERSTOWN 0.3 S, NY US",2018-01,20.6,COOPERSTOWN,NIAGARA,063
US1NYDT0008,"MILLBROOK 3.2 SE, NY US",2018-01,20.6,MILLBROOK,ONEIDA,065
US1NYDT0004,"HOPEWELL JUNCTION 2.4 SSE, NY US",2018-01,20.6,HOPEWELL JUNCTION,ONONDAGA,067
US1NYDT0005,"WAPPINGERS FALLS 1.6 ESE, NY US",2018-01,20.6,WAPPINGERS FALLS,ONTARIO,069
USC00306376,"PALERMO 2 SSE, NY US",2018-01,20.6,PALERMO,ORANGE,071
US1NYMR0015,"BROCKPORT 0.6 WNW, NY US",2018-01,20.6,BROCKPORT,ORLEANS,073
USC00300707,"BLACK RIVER, NY US",2018-01,20.6,"BLACK RIVER,",OSWEGO,075
US1NYOT0011,"HARTWICK, NY US",2018-01,20.6,"HARTWICK, NY",OTSEGO,077
US1NYSF0065,"WEST ISLIP 0.6 SW, NY US",2018-01,20.6,WEST ISLIP,PUTNAM,079
US1NYGN0011,"BATAVIA 1.2 W, NY US",2018-01,20.6,BATAVIA,QUEENS,081
US1NYGN0013,"BATAVIA 3.4 WSW, NY US",2018-01,20.6,BATAVIA,RENSSELAER,083
US1NYES0009,"KEENE VALLEY 2.5 NE, NY US",2018-01,20.6,KEENE VALLEY,RICHMOND,085
US1NYOG0046,"BALDWINSVILLE 3.5 NE, NY US",2018-01,20.6,BALDWINSVILLE,ROCKLAND,087
US1NYES0007,"KEESEVILLE 0.8 SE, NY US",2018-01,20.6,KEESEVILLE,SARATOGA,091
US1NYES0006,"OLMSTEDVILLE 4.6 NNE, NY US",2018-01,20.6,OLMSTEDVILLE,SCHENECTADY,093
US1NYSF0061,"CENTERPORT 0.9 SW, NY US",2018-01,20.6,CENTERPORT,SCHOHARIE,095
US1NYSF0063,"LAKE GROVE 1.2 SSW, NY US",2018-01,20.6,LAKE GROVE,SCHUYLER,097
US1NYSF0077,"NESCONSET 1.4 SSW, NY US",2018-01,20.6,NESCONSET,SENECA,099
US1NYOT0026,"RICHFIELD SPRINGS 4.1 SSE, NY US",2018-01,20.6,RICHFIELD SPRINGS,ST LAWRENCE,089
US1NYOT0025,"LAURENS 5.5 W, NY US",2018-01,20.6,LAURENS,STEUBEN,101
USC00305142,"MATTITUCK, NY US",2018-01,28.3,"MATTITUCK, NY",SUFFOLK,103
US1NYMD0022,"ONEIDA 0.4 NW, NY US",2018-01,20.6,ONEIDA,SULLIVAN,105
USC00308412,"TAYLORVILLE, NY US",2018-01,20.6,"TAYLORVILLE, NY",TIOGA,107
US1NYDT0024,"RED HOOK 1.2 NNE, NY US",2018-01,20.6,RED HOOK,TOMPKINS,109
USC00303087,"FULTON, NY US",2018-01,20.1,"FULTON, NY",ULSTER,111
US1NYDT0023,"BEACON 0.7 SE, NY US",2018-01,20.6,BEACON,WARREN,113
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",2018-01,19.6,ITHACA CORNELL,WASHINGTON,115
US1NYSF0073,"BRIGHTWATERS 0.7 NNW, NY US",2018-01,20.6,BRIGHTWATERS,WAYNE,117
USC00300937,"BROCKPORT, NY US",2018-01,22.7,"BROCKPORT, NY",WESTCHESTER,119
US1NYMD0016,"CHITTENANGO 2.1 ESE, NY US",2018-01,20.6,CHITTENANGO,WYOMING,121
US1NYSF0089,"AMITYVILLE 0.1 WSW, NY US",2018-01,20.6,AMITYVILLE,YATES,123
